,Thực tế,Dự đoán,MAPE
592,1.98,8.360666666666669,0.5308374930671105
593,5.92,4.911666666666665,0.12479372937293745
594,0.0,0.0,0.0
595,958.51,943.3953333333334,0.016002653933432795
596,0.0,0.0,0.0
597,338.06,211.42500000000007,0.3907763994322037
598,0.0,0.0,0.0
599,0.0,0.0,0.0
600,0.0,0.0,0.0
601,163.34,232.81799999999993,0.4652336949243332
602,0.0,0.0,0.0
603,0.0,0.0,0.0
604,77.74,126.43233333333329,0.7639211379562801
605,35.29,87.21733333333331,2.4390480663848435
606,0.0,0.0,0.0
607,71.73,41.292666666666676,0.5272359836018244
608,0.0,0.0,0.0
609,0.0,0.0,0.0
610,0.0,0.0,0.0
611,0.0,0.0,0.0
612,0.0,0.0,0.0
613,904.38,783.6703333333334,0.13557095472345138
614,0.0,0.0,0.0
615,282.02,226.6413333333333,0.20662139641320304
616,0.0,0.0,0.0
617,850.67,834.9066666666665,0.018840562388197778
618,0.0,0.0,0.0
619,906.03,734.8336666666665,0.1919176858775304
620,224.58,215.02700000000002,0.04536518187862094
621,0.0,0.0,0.0
622,0.0,0.0,0.0
623,0.0,0.0,0.0
624,0.0,0.0,0.0
625,0.0,0.0,0.0
626,72.54,111.92433333333332,0.6727764491515769
627,51.51,40.653333333333336,0.2894339287301163
628,0.0,0.0,0.0
629,545.7,442.77233333333345,0.19358222055043556
630,0.0,0.0,0.0
631,0.0,0.0,0.0
632,0.0,0.0,0.0
633,944.13,707.0193333333332,0.25492207182508553
634,0.0,0.042,0.003
635,174.77,108.56166666666668,0.41182019862743874
636,669.83,584.6283333333334,0.12991425623510147
637,0.0,0.07933333333333333,0.005666666666666666
638,395.28,378.813,0.04318873268988666
639,210.92,261.80300000000005,0.258394271785497
640,0.0,0.0,0.0
641,320.43,481.63133333333343,0.5260625047591079
642,427.03,484.5486666666667,0.139260263580531
643,56.18,116.47766666666666,1.42953216374269
644,234.83,606.9913333333334,1.6852843061782063
645,939.32,872.4063333333332,0.07231408233548049
646,0.0,0.0,0.0
647,16.2,22.653,2.933181818181819
648,0.0,0.0,0.0
649,0.0,0.0,0.0
650,0.0,0.0,0.0
651,0.86,0.19866666666666666,0.05032978183663115
652,39.98,32.945333333333345,0.2707723890171922
653,0.0,0.03233333333333333,0.0023095238095238095
654,420.38,224.0533333333333,0.4831110454910839
655,272.58,181.64533333333335,0.3516693737592491
656,0.0,0.0,0.0
657,963.53,801.8659999999998,0.1702568639221512
658,0.0,0.09899999999999999,0.0070714285714285705
659,0.0,0.0,0.0
660,552.4,407.7676666666667,0.26863360574541845
661,704.79,711.3740000000001,0.009531116547720977
662,468.69,515.9569999999998,0.10395434251907842
663,0.0,0.0,0.0
664,86.54,91.47233333333337,0.06799466960757321
665,520.0,521.1346666666666,0.00224242424242409
666,0.0,0.0,0.0
667,220.7,285.55866666666674,0.3137816481212712
668,796.01,754.2213333333332,0.05343750932426288
669,0.0,0.0,0.0
670,815.61,623.6689999999999,0.2394443682089796
671,323.76,288.01699999999994,0.11538933367768613
672,670.37,658.9910000000002,0.017336258512728783
673,486.73,463.19266666666664,0.04979022556921155
674,0.0,0.0,0.0
675,0.0,0.0,0.0
676,190.54,107.49700000000001,0.47039197915486564
677,866.38,892.7466666666668,0.030932995455860986
678,434.61,568.2933333333333,0.3178320375961895
679,0.0,0.0,0.0
680,786.46,686.611,0.129261062061466
681,0.0,4.7426666666666675,0.3387619047619048
682,209.32,454.56099999999986,1.255585705508908
683,895.8,883.7166666666669,0.01370303167762875
684,287.36,271.23400000000004,0.05899180567749479
685,36.4,59.12199999999999,1.0143749999999998
686,533.27,471.9749333333333,0.11804083938349354
687,78.26,162.9123333333333,1.3173410104782646
688,0.0,0.0,0.0
689,0.0,0.0,0.0
690,813.67,814.5093333333333,0.0010495996265126152
691,0.0,0.0,0.0
692,0.0,0.0,0.0
693,502.45,714.9206666666666,0.4349895929300167
694,0.0,0.0,0.0
695,289.92,251.359,0.1397542766019136
696,0.0,0.0,0.0
697,0.0,0.0,0.0
698,673.87,398.72866666666664,0.41696293714418503
699,489.42,517.6016666666666,0.059277410850756294
700,719.89,760.2890000000001,0.057231296660953
701,0.0,0.0,0.0
702,819.55,764.4309999999999,0.06842405809695243
703,0.0,0.0,0.0
704,1.94,6.500999999999999,0.3781923714759534
705,646.97,616.427,0.048253471728517947
706,804.54,614.9703333333334,0.2397976910297601
707,661.11,845.2526666666666,0.28456161497530036
708,977.24,939.1286666666668,0.03956577107816656
709,0.0,0.0,0.0
710,968.03,864.2766666666668,0.10875269470911106
711,181.19,138.127,0.2575692326096058
712,28.09,42.14033333333334,0.9971847646084697
713,195.79,201.73733333333337,0.03271540422098782
714,15.58,15.971333333333332,0.24767932489451389
715,626.5,462.74166666666673,0.26736054421768696
716,591.76,756.7043333333335,0.28548936121111446
717,21.46,39.293000000000006,2.390482573726542
718,645.14,744.1183333333333,0.1568246876023281
719,820.14,682.8196666666665,0.17034303388162533
720,0.0,0.0,0.0
721,598.28,708.2623333333332,0.1882356632664703
722,0.0,0.0,0.0
723,523.0,568.5113333333334,0.08941322855271781
724,0.0,0.0,0.0
725,0.0,0.0,0.0
726,0.99,0.2793333333333333,0.054624647706892134
727,203.1,415.46266666666673,1.1230178036312362
728,362.75,493.0950000000002,0.37374910394265287
729,0.0,0.0,0.0
730,523.0,434.3813333333332,0.17410347085789155
731,0.0,0.009333333333333334,0.0006666666666666668
732,312.07,301.6306666666667,0.03502309300947197
733,0.0,0.0,0.0
734,0.0,0.0,0.0
735,0.0,0.0,0.0
736,741.09,634.0303333333334,0.14724403673089528
737,279.18,318.4283333333333,0.1480063855997182
738,0.0,0.0,0.0
